"sep=,"
Shimmer_69B4_TimestampSync_Unix_CAL,Shimmer_69B4_ECG_LA-RA_24BIT_CAL,Shimmer_69B4_ECGtoHR_LA_RA_CAL,
ms,mV,BPM,
1.6861877738727976E12,-605.0000721216288,-1.0,
1.6861877738747502E12,-605.0000721216288,-1.0,
1.686187773876703E12,-605.0000721216288,-1.0,
1.6861877738786555E12,-605.0000721216288,-1.0,
1.6861877738806082E12,-605.0000721216288,-1.0,
1.6861877738825605E12,-605.0000721216288,-1.0,
1.6861877738845132E12,-605.0000721216288,-1.0,
1.6861877738864658E12,-605.0000721216288,-1.0,
1.6861877738884185E12,-605.0000721216288,-1.0,
1.686187773890371E12,-605.0000721216288,-1.0,
1.6861877738923235E12,-605.0000721216288,-1.0,
1.6861877738942761E12,-605.0000721216288,-1.0,
1.6861877738962288E12,-605.0000721216288,-1.0,
1.6861877738981814E12,-605.0000721216288,-1.0,
1.686187773900134E12,-605.0000721216288,-1.0,
1.6861877739020864E12,-605.0000721216288,-1.0,
1.686187773904039E12,-605.0000721216288,-1.0,
1.6861877739059917E12,-605.0000721216288,-1.0,
1.6861877739079443E12,-605.0000721216288,-1.0,
1.686187773909897E12,-605.0000721216288,-1.0,
1.6861877739118494E12,-605.0000721216288,-1.0,
1.686187773913802E12,-605.0000721216288,-1.0,
1.6861877739157546E12,-605.0000721216288,-1.0,
1.6861877739177073E12,-605.0000721216288,-1.0,
1.68618777391966E12,-605.0000721216288,-1.0,
1.6861877739216123E12,-605.0000721216288,-1.0,
1.686187773923565E12,-605.0000721216288,-1.0,
1.6861877739255176E12,-605.0000721216288,-1.0,
1.6861877739274702E12,-605.0000721216288,-1.0,
1.6861877739294229E12,-605.0000721216288,-1.0,
1.6861877739313752E12,-605.0000721216288,-1.0,
1.686187773933328E12,-605.0000721216288,-1.0,
1.6861877739352805E12,-605.0000721216288,-1.0,
1.6861877739372332E12,-605.0000721216288,-1.0,
1.6861877739391858E12,-605.0000721216288,-1.0,
